code,date,event_adj_close,sma25,sma75,sma75_5,sma75_slope5_pct,macd,signal,volume,volume_ratio20,sma75_rising,macd_above_signal,macd_above_zero,price_above_sma25,sma25_above_sma75,ret_5d,max_up_5d,max_down_5d,ret_10d,max_up_10d,max_down_10d,ret_20d,max_up_20d,max_down_20d,ret_40d,max_up_40d,max_down_40d,pullback25_pct,rs20_vs_topix,rs60_vs_topix,vol20_ann
4452,2021-09-24,2980.675048828125,2981.822236328125,2976.990563151041,2971.7415071614582,0.0017663232070936896,-0.6621268381795744,6.347109108313311,3697000,1.2888583650289531,True,False,False,False,True,-0.0229425469813073,0.0041445844139134,-0.0273828727495778,-0.0179100480020837,0.0041445844139134,-0.0371522003358545,-0.0540260769958174,0.0041445844139134,-0.0553582261598039,-0.0794847506049917,0.0041445844139134,-0.0862935143085084,0.00038472699211367794,-0.07456608594049197,-0.07080397696900098,0.17025757859473678
8001,2021-09-24,577.7803344726562,587.6394604492187,577.0410286458333,575.3375797526041,0.0029607815536083493,5.090525249736288,7.956616786335438,26029500,1.6332952663018925,True,False,True,False,True,-0.0387061416365943,0.0207581087331523,-0.041756899617372,-0.0152154689350798,0.0207581087331523,-0.0530447413869475,-0.0085036972527857,0.0296306253801712,-0.0530447413869475,0.0342068376279651,0.0625788075962288,-0.0530447413869475,0.016777508387584666,-0.06055040877058615,-0.05228961720097347,0.24828974581023627
7182,2021-10-04,786.9929809570312,803.4114428710938,786.2316609700521,784.3338297526042,0.0024196727789320693,-0.6407017697791844,2.628743369322592,2089900,0.7507741606374342,True,False,False,False,True,0.0220819719541343,0.0420609743602193,0.0084121731811523,-0.0231335387452222,0.0420609743602193,-0.0262881128935155,-0.0651945041811006,0.0420609743602193,-0.0715036526343214,-0.0273396507997887,0.0420609743602193,-0.1051524867462206,0.020435932372818873,-0.03148841196715502,-0.0030875990899146277,0.21348294428004694
4307,2021-10-06,3712.222900390625,4045.166943359375,3655.4002018229166,3626.220035807292,0.008046992661086216,-22.410228496197306,56.6673898704791,1675200,1.2628246202555502,True,False,False,False,True,0.0126902753750099,0.0329949527351216,-0.0038071852513998,0.0634516399418227,0.0824872360771771,-0.0038071852513998,0.217005030823205,0.217005030823205,-0.0038071852513998,0.2246191039748402,0.2817257732556808,-0.0038071852513998,0.08230662606281741,-0.045336920243908674,0.08892642913144311,0.33291031127041576
6920,2021-10-07,22583.138671875,25546.62734375,22084.38091145833,21899.420729166668,0.00844589382427463,-173.40377629503564,554.1950707745206,3825700,1.001507877087075,True,False,False,False,True,0.0114116527930172,0.0502959044220789,-0.0321216091080386,0.0515638958027226,0.1580727808455495,-0.0321216091080386,0.1762468489912318,0.2032967226295496,-0.0321216091080386,0.2174556912837781,0.4074388331984648,-0.0321216091080386,0.1160031276144175,-0.09071807843961455,0.07816914656105411,0.4626110034193749
4901,2021-10-08,2667.7919921875,2891.4769921875,2641.108863932292,2623.5333854166665,0.006699163278546916,-25.280784859935466,27.210960369838865,4330500,0.8065124412994712,True,False,False,False,True,0.0606825525409993,0.0616020150613705,-0.0008045059729988,0.017469312571587,0.0616020150613705,-0.0008045059729988,0.0463164836323344,0.0998734949193027,-0.0137914591585419,-0.0073553555341697,0.0998734949193027,-0.032639780616675,0.07736011754697543,-0.03561463201140813,0.04020612837302395,0.277496893479463
6501,2021-10-08,1182.6090087890625,1209.2148583984374,1178.5659700520832,1175.4249283854167,0.0026722605508979758,1.8678905527528968,10.0616671742505,14567000,0.895678399375294,True,False,True,False,True,0.0534362696356385,0.0606872729377865,0.0020492372910896,0.053751610379634,0.0889028381191823,0.0020492372910896,0.1209014348055461,0.1410780535506166,0.0020492372910896,0.0531210321128357,0.1759141140827607,0.0020492372910896,0.022002582439826626,0.018974686297917764,-0.05343543362529457,0.3129905528320766
6861,2021-10-08,62550.38671875,67404.57484375,61330.06578125,60899.44453125,0.007071020980807585,-1185.5192336973414,-134.72906447606766,656600,0.7154258941461688,True,False,False,False,True,0.0533686623515203,0.0557025663301427,-0.0141588813539347,0.0457446212581493,0.080753083381923,-0.0141588813539347,0.12743120405618,0.1683523274157028,-0.0141588813539347,0.1194958514382686,0.1683523274157028,-0.0141588813539347,0.07201570718682604,-0.0697744521205278,0.11362518486988793,0.3545864965244478
7269,2021-10-08,1095.537109375,1124.2305908203125,1070.1501790364584,1068.3046435546876,0.001727536703042043,-2.083193931606502,9.591553921569307,8226800,1.451825811962192,True,False,False,False,True,0.0671502143818583,0.0694300070325089,0.0010362219278494,0.0590673274916877,0.1044560341457387,0.0010362219278494,0.1287047725591221,0.1440415616096868,0.0010362219278494,-0.0341968034372409,0.1440415616096868,-0.0787562674471699,0.025522772356137233,0.012601153693960865,0.032299995229159606,0.28574138794116044
6326,2021-10-11,2084.135498046875,2140.6399609375,2057.5293782552085,2055.456904296875,0.0010082789641567835,-13.947522672689956,2.9572408777117616,2758400,0.9439511872109396,True,False,False,False,True,0.024818139359388,0.0301668770387166,-0.0222507580806926,0.0393667563235515,0.0487804776692037,-0.0222507580806926,-0.018827477248311,0.0971331862426601,-0.0278134750288502,0.0738127120350573,0.0971331862426601,-0.0278134750288502,0.026396060954537413,-0.008142744397951707,-0.002371219073333597,0.2745215758680334
