code,first_date,last_date,rows,years,meets_3y
1925,2020-09-07,2026-09-04,1466,5.990417522245037,True
1928,2020-09-07,2026-09-04,1466,5.990417522245037,True
2502,2020-09-07,2026-09-04,1466,5.990417522245037,True
2503,2020-09-07,2026-09-04,1466,5.990417522245037,True
2802,2020-09-07,2026-09-04,1466,5.990417522245037,True
2914,2020-09-07,2026-09-04,1466,5.990417522245037,True
3382,2020-09-07,2026-09-04,1466,5.990417522245037,True
3407,2020-09-07,2026-09-04,1466,5.990417522245037,True
4063,2020-09-07,2026-09-04,1466,5.990417522245037,True
4188,2020-09-07,2026-09-04,1466,5.990417522245037,True
4307,2020-09-07,2026-09-04,1466,5.990417522245037,True
4452,2020-09-07,2026-09-04,1466,5.990417522245037,True
4502,2020-09-07,2026-09-04,1466,5.990417522245037,True
4503,2020-09-07,2026-09-04,1466,5.990417522245037,True
4507,2020-09-07,2026-09-04,1466,5.990417522245037,True
4519,2020-09-07,2026-09-04,1466,5.990417522245037,True
4543,2020-09-07,2026-09-04,1466,5.990417522245037,True
4568,2020-09-07,2026-09-04,1466,5.990417522245037,True
4578,2020-09-07,2026-09-04,1466,5.990417522245037,True
4661,2020-09-07,2026-09-04,1466,5.990417522245037,True
4689,2020-09-07,2026-09-04,1466,5.990417522245037,True
4901,2020-09-07,2026-09-04,1466,5.990417522245037,True
5020,2020-09-07,2026-09-04,1466,5.990417522245037,True
5108,2020-09-07,2026-09-04,1466,5.990417522245037,True
5401,2020-09-07,2026-09-04,1466,5.990417522245037,True
5802,2020-09-07,2026-09-04,1466,5.990417522245037,True
5803,2020-09-07,2026-09-04,1466,5.990417522245037,True
6098,2020-09-07,2026-09-04,1466,5.990417522245037,True
6146,2020-09-07,2026-09-04,1466,5.990417522245037,True
6178,2020-09-07,2026-09-04,1466,5.990417522245037,True
6273,2020-09-07,2026-09-04,1466,5.990417522245037,True
6301,2020-09-07,2026-09-04,1466,5.990417522245037,True
6326,2020-09-07,2026-09-04,1466,5.990417522245037,True
6367,2020-09-07,2026-09-04,1466,5.990417522245037,True
6501,2020-09-07,2026-09-04,1466,5.990417522245037,True
6503,2020-09-07,2026-09-04,1466,5.990417522245037,True
6701,2020-09-07,2026-09-04,1466,5.990417522245037,True
6702,2020-09-07,2026-09-04,1466,5.990417522245037,True
6723,2020-09-07,2026-09-04,1466,5.990417522245037,True
6752,2020-09-07,2026-09-04,1466,5.990417522245037,True
6758,2020-09-07,2026-09-04,1466,5.990417522245037,True
6762,2020-09-07,2026-09-04,1466,5.990417522245037,True
6857,2020-09-07,2026-09-04,1466,5.990417522245037,True
6861,2020-09-07,2026-09-04,1466,5.990417522245037,True
6902,2020-09-07,2026-09-04,1466,5.990417522245037,True
6920,2020-09-07,2026-09-04,1466,5.990417522245037,True
6954,2020-09-07,2026-09-04,1466,5.990417522245037,True
6971,2020-09-07,2026-09-04,1466,5.990417522245037,True
6981,2020-09-07,2026-09-04,1466,5.990417522245037,True
7011,2020-09-07,2026-09-04,1466,5.990417522245037,True
7182,2020-09-07,2026-09-04,1466,5.990417522245037,True
7203,2020-09-07,2026-09-04,1466,5.990417522245037,True
7267,2020-09-07,2026-09-04,1466,5.990417522245037,True
7269,2020-09-07,2026-09-04,1466,5.990417522245037,True
7270,2020-09-07,2026-09-04,1466,5.990417522245037,True
7309,2020-09-07,2026-09-04,1466,5.990417522245037,True
7733,2020-09-07,2026-09-04,1466,5.990417522245037,True
7741,2020-09-07,2026-09-04,1466,5.990417522245037,True
7751,2020-09-07,2026-09-04,1466,5.990417522245037,True
7832,2020-09-07,2026-09-04,1466,5.990417522245037,True
7936,2020-09-07,2026-09-04,1466,5.990417522245037,True
7974,2020-09-07,2026-09-04,1466,5.990417522245037,True
8001,2020-09-07,2026-09-04,1466,5.990417522245037,True
8002,2020-09-07,2026-09-04,1466,5.990417522245037,True
8015,2020-09-07,2026-09-04,1466,5.990417522245037,True
8031,2020-09-07,2026-09-04,1466,5.990417522245037,True
8035,2020-09-07,2026-09-04,1466,5.990417522245037,True
8053,2020-09-07,2026-09-04,1466,5.990417522245037,True
8058,2020-09-07,2026-09-04,1466,5.990417522245037,True
8113,2020-09-07,2026-09-04,1466,5.990417522245037,True
8267,2020-09-07,2026-09-04,1466,5.990417522245037,True
8306,2020-09-07,2026-09-04,1466,5.990417522245037,True
8308,2020-09-07,2026-09-04,1466,5.990417522245037,True
8309,2020-09-07,2026-09-04,1466,5.990417522245037,True
8316,2020-09-07,2026-09-04,1466,5.990417522245037,True
8411,2020-09-07,2026-09-04,1466,5.990417522245037,True
8591,2020-09-07,2026-09-04,1466,5.990417522245037,True
8604,2020-09-07,2026-09-04,1466,5.990417522245037,True
8630,2020-09-07,2026-09-04,1466,5.990417522245037,True
8697,2020-09-07,2026-09-04,1466,5.990417522245037,True
8725,2020-09-07,2026-09-04,1466,5.990417522245037,True
8729,2025-09-29,2026-09-04,229,0.9308692676249144,False
8750,2020-09-07,2026-09-04,1466,5.990417522245037,True
8766,2020-09-07,2026-09-04,1466,5.990417522245037,True
8801,2020-09-07,2026-09-04,1466,5.990417522245037,True
8802,2020-09-07,2026-09-04,1466,5.990417522245037,True
8830,2020-09-07,2026-09-04,1466,5.990417522245037,True
9020,2020-09-07,2026-09-04,1466,5.990417522245037,True
9021,2020-09-07,2026-09-04,1466,5.990417522245037,True
9022,2020-09-07,2026-09-04,1466,5.990417522245037,True
9101,2020-09-07,2026-09-04,1466,5.990417522245037,True
9104,2020-09-07,2026-09-04,1466,5.990417522245037,True
9202,2020-09-07,2026-09-04,1466,5.990417522245037,True
9432,2020-09-07,2026-09-04,1466,5.990417522245037,True
9433,2020-09-07,2026-09-04,1466,5.990417522245037,True
9434,2020-09-07,2026-09-04,1466,5.990417522245037,True
9735,2020-09-07,2026-09-04,1466,5.990417522245037,True
9983,2020-09-07,2026-09-04,1466,5.990417522245037,True
9984,2020-09-07,2026-09-04,1466,5.990417522245037,True
