code,date,event_adj_close,sma25,sma75,sma75_5,sma75_slope5_pct,macd,signal,volume,volume_ratio20,sma75_rising,macd_above_signal,macd_above_zero,price_above_sma25,sma25_above_sma75,ret_5d,max_up_5d,max_down_5d,ret_10d,max_up_10d,max_down_10d,ret_20d,max_up_20d,max_down_20d,ret_40d,max_up_40d,max_down_40d,market_adj_close,market_sma200,market_regime
4452,2021-09-24,2980.67529296875,2981.822255859375,2976.99060546875,2971.74154296875,0.0017663253765858,-0.6621012920500107,6.347109217204546,3697000,1.2888583650289531,True,False,False,False,True,-0.0229427089177798,0.0041445021666162,-0.0273830338514045,-0.0179099646272874,0.0041445021666162,-0.0371522792006219,-0.0540259906628357,0.0041445021666162,-0.0553581399483988,-0.0794849079102152,0.0041445021666162,-0.0862936704501944,193.58056640625,176.59218940734863,BULL_ABOVE_SMA200
8001,2021-09-24,577.7803955078125,587.6394604492187,577.0410164388021,575.3375651041666,0.0029607858724243,5.090532090268994,7.956619520518289,26029500,1.6332952663018925,True,False,True,False,True,-0.0387061375477824,0.0207580009030301,-0.0417568955415362,-0.0152154673277589,0.0207580009030301,-0.0530447373591241,-0.0085039076290618,0.0296305166127803,-0.0530447373591241,0.0342068340144474,0.0625786953482812,-0.0530447373591241,193.58056640625,176.59218940734863,BULL_ABOVE_SMA200
7182,2021-10-04,786.9929809570312,803.4114331054687,786.2316593424479,784.3338289388021,0.0024196717438715,-0.6407070736801188,2.628736927958163,2089900,0.7507741606374342,True,False,False,False,True,0.022082049509027,0.0420610526259002,0.0084122500944328,-0.0231335387452222,0.0420610526259002,-0.0262881128935155,-0.0651945041811006,0.0420610526259002,-0.0715036526343214,-0.0273395732448958,0.0420610526259002,-0.1051524103582417,184.2556915283203,177.41636947631835,BULL_ABOVE_SMA200
4307,2021-10-06,3712.22265625,4045.1669140625,3655.4001953125,3626.220032552084,0.0080469917706234,-22.410273173185487,56.66735159247567,1675200,1.2628246202555502,True,False,False,False,True,0.0126904077430027,0.0329948891383931,-0.003807055039778,0.0634518414149205,0.0824873741329035,-0.003807055039778,0.2170049793282116,0.2170049793282116,-0.003807055039778,0.2246191845139946,0.2817259893449264,-0.003807055039778,180.93821716308594,177.60251571655274,BULL_ABOVE_SMA200
6920,2021-10-07,22583.140625,25546.62765625,22084.38106770833,21899.420859375,0.0084458949632064,-173.40400823104574,554.1947903640474,3825700,1.001507877087075,True,False,False,False,True,0.0114117382920473,0.0502959026158935,-0.0321217772374691,0.0515636318852352,0.1580726806884926,-0.0321217772374691,0.1762467472623727,0.2032966185612559,-0.0321217772374691,0.2174555859909321,0.4074386213626302,-0.0321217772374691,180.66921997070312,177.6917945098877,BULL_ABOVE_SMA200
4901,2021-10-08,2667.79150390625,2891.476943359375,2641.1088248697915,2623.533356119792,0.0066991596310381,-25.280900640713757,27.210890725027213,4330500,0.8065124412994712,True,False,False,False,True,0.0606828381900188,0.0616023009580077,-0.0008043230919813,0.0174694072830974,0.0616023009580077,-0.0008043230919813,0.0463167666519572,0.0998737898645996,-0.0137912786545039,-0.0073551738521427,0.0998737898645996,-0.0326396035624125,183.0004425048828,177.78788902282716,BULL_ABOVE_SMA200
6501,2021-10-08,1182.60888671875,1209.214833984375,1178.5659749348958,1175.424939778646,0.0026722549862192,1.8678628733105145,10.061648488069302,14567000,0.895678399375294,True,False,True,False,True,0.053436171930191,0.0606871745598138,0.0020492411219334,0.05375161592794,0.0889029505170437,0.0020492411219334,0.1209016537275446,0.1410782764132878,0.0020492411219334,0.0531209343748491,0.1759143411918384,0.0020492411219334,183.0004425048828,177.78788902282716,BULL_ABOVE_SMA200
6861,2021-10-08,62550.38671875,67404.5740625,61330.06494791667,60899.44390625,0.0070710176324364,-1185.5195162609598,-134.72880561983098,656600,0.7154258941461688,True,False,False,False,True,0.0533686623515203,0.0557025663301427,-0.0141590613452949,0.0457444963588418,0.0807532101982644,-0.0141590613452949,0.12743120405618,0.1683523274157028,-0.0141590613452949,0.1194958514382686,0.1683523274157028,-0.0141590613452949,183.0004425048828,177.78788902282716,BULL_ABOVE_SMA200
7269,2021-10-08,1095.537109375,1124.2305859375,1070.1501546223958,1068.304619140625,0.0017275367425215,-2.083170892648696,9.591583341861735,8226800,1.451825811962192,True,False,False,False,True,0.0671502143818583,0.0694300070325089,0.0010363300401732,0.05906743891677,0.1044561472475034,0.0010363300401732,0.1287047725591221,0.1440415616096868,0.0010363300401732,-0.0341968034372409,0.1440415616096868,-0.0787564331310985,183.0004425048828,177.78788902282716,BULL_ABOVE_SMA200
6326,2021-10-11,2084.1357421875,2140.63998046875,2057.5293977864585,2055.4568994140627,0.0010082908442334,-13.94749083815259,2.957243786420128,2758400,0.9439511872109396,True,False,False,False,True,0.0248179021673684,0.0301666386087429,-0.0222508726165676,0.0393665174272721,0.0487804744442181,-0.0222508726165676,-0.0188277678987702,0.0971328167163951,-0.0278135889130953,0.0738124691036967,0.0971328167163951,-0.0278135889130953,186.3179473876953,177.90497146606447,BULL_ABOVE_SMA200
6752,2021-10-11,1215.29150390625,1225.1913134765623,1178.929873046875,1175.5341975911458,0.0028886232852156,-12.182548106914735,-1.295880594584128,9159400,1.5378648470765222,True,False,False,False,True,0.0294118887853633,0.0345586913863107,-0.0066175644767317,0.0628676046650009,0.0683823103273928,-0.0066175644767317,-0.0051470177591297,0.1330883906229232,-0.0066175644767317,-0.07279411085223,0.1330883906229232,-0.1058824206655087,186.3179473876953,177.90497146606447,BULL_ABOVE_SMA200
7309,2021-10-11,28593.21875,30725.546171875,28307.02625,27982.053046875,0.0116136297283337,-553.9242342183425,-106.9279382996362,155400,0.6139380530973452,True,False,False,False,True,-0.0189109387824691,0.0058690818668716,-0.0428757597053468,-0.0156504273849896,0.00912952028818,-0.0428757597053468,0.0195632049994372,0.0867298455171272,-0.0428757597053468,0.047929715634061,0.0867298455171272,-0.0428757597053468,186.3179473876953,177.90497146606447,BULL_ABOVE_SMA200
7741,2021-10-11,16055.1708984375,17135.774765625,15899.2422265625,15767.273528645834,0.0083697855356479,-319.1110712788359,-101.31543065818404,607700,0.577804400327077,True,False,False,False,True,0.0143627670578045,0.034111500279176,-0.0137641841075952,0.026930028566658,0.0685219272015666,-0.0137641841075952,0.0664275011184274,0.0873728854988544,-0.0266307052786772,0.1068223919048665,0.1424299170193839,-0.0266307052786772,186.3179473876953,177.90497146606447,BULL_ABOVE_SMA200
5401,2021-10-12,284.2994079589844,300.07582885742187,282.8956846110026,281.5709434000651,0.0047048221486947,-5.876547448183203,-3.8002202290661753,32635500,0.6395725404466847,True,False,False,False,True,0.0076180320511451,0.0223464636156076,-0.0330117067161609,0.0482477152290761,0.0500252981223705,-0.0330117067161609,-0.0393600290599224,0.0766885376924908,-0.0446926236963091,-0.0624684210034797,0.0766885376924908,-0.1414424312150267,184.7040252685547,178.0113441467285,BULL_ABOVE_SMA200
6326,2021-10-14,2074.32568359375,2129.7243603515626,2058.6051285807293,2054.9586100260417,0.0017744973241293,-15.158165818935233,-5.905217641326916,1735600,0.6079510724787948,True,False,False,False,True,0.0234307600432086,0.0537404467319129,0.008598417766007,0.0374034389470034,0.0696476826375733,0.008598417766007,0.0251505395555171,0.1023214605741267,-0.0232158510881039,0.092863268113061,0.1081255206771891,-0.0232158510881039,185.2419891357422,178.21790420532227,BULL_ABOVE_SMA200
6367,2021-10-14,23222.73828125,24270.039765625,23121.051015625,22895.778385416663,0.0098390465882487,-622.3464945254564,-632.9965005780283,702400,0.637045501954489,True,True,False,False,True,0.0272837555998539,0.0569928166508277,0.0068714687149964,-0.0072755840559688,0.0569928166508277,-0.0072755840559688,0.027485773389194,0.0569928166508277,-0.0131366198565203,0.0877122217061974,0.0927647682581584,-0.0662895045720207,185.2419891357422,178.21790420532227,BULL_ABOVE_SMA200
7741,2021-10-14,16035.9560546875,16975.2487109375,15968.990442708331,15842.606731770831,0.0079774568085471,-319.2338488023579,-208.88584084285503,744200,0.7288611177763957,True,False,False,False,True,0.018574104007845,0.0698022675694629,0.0065907942190979,0.0089875541530541,0.0698022675694629,-0.0017973484447814,0.0632117679392239,0.0886758137447034,-0.0254643801250453,0.066506975078405,0.1437988165272143,-0.0254643801250453,185.2419891357422,178.21790420532227,BULL_ABOVE_SMA200
8411,2021-10-15,1306.6148681640625,1319.8656005859375,1301.427556966146,1300.7591666666667,0.0005138463111444,0.8166972457252086,3.4378864619508103,7607100,0.7667446638770443,True,False,True,False,True,-0.018281003110207,0.014111532032428,-0.018281003110207,-0.0346375475077096,0.014111532032428,-0.0426555080765824,-0.0144322725345202,0.0150738210553291,-0.0426555080765824,-0.0615780075634898,0.0150738210553291,-0.1039127152273009,188.5594940185547,178.34311424255372,BULL_ABOVE_SMA200
