code,event_count,5d_n,5d_win_rate,5d_mean_return,5d_median_return,5d_avg_gain,5d_avg_loss,5d_mean_max_up,5d_mean_max_down,5d_best_max_up,5d_worst_max_down,10d_n,10d_win_rate,10d_mean_return,10d_median_return,10d_avg_gain,10d_avg_loss,10d_mean_max_up,10d_mean_max_down,10d_best_max_up,10d_worst_max_down,20d_n,20d_win_rate,20d_mean_return,20d_median_return,20d_avg_gain,20d_avg_loss,20d_mean_max_up,20d_mean_max_down,20d_best_max_up,20d_worst_max_down,40d_n,40d_win_rate,40d_mean_return,40d_median_return,40d_avg_gain,40d_avg_loss,40d_mean_max_up,40d_mean_max_down,40d_best_max_up,40d_worst_max_down
8630,18,18,0.6666666666666666,-0.00031092439728208285,0.012817400150927898,0.03004250852645375,-0.061017790244753754,0.032335085872544925,-0.03351093141729378,0.1207296776392603,-0.2663886496832057,18,0.6111111111111112,0.0172138312699862,0.0269105610508323,0.04878674287646431,-0.03240074411162224,0.06261075854754905,-0.04017201753235481,0.1439468939503698,-0.2663886496832057,18,0.7222222222222222,0.033501902412332446,0.03628424877841605,0.052793710930821774,-0.01665679973573982,0.08215301427875052,-0.04644465695393871,0.1565505664466828,-0.2663886496832057,18,0.8333333333333334,0.08931054473270317,0.08404351162668655,0.11201901693188526,-0.024231816263207234,0.13763239051105877,-0.05085254636953243,0.2466252814215339,-0.2663886496832057
8766,17,17,0.5882352941176471,0.02924719725738981,0.0083135279245876,0.05904120245504822,-0.013315667310693642,0.046949400326922165,-0.016994488606647852,0.3218370808724557,-0.0367382026944929,16,0.75,0.03731331068309891,0.017488224684258098,0.058874727094979734,-0.027370938552543578,0.061984659103620915,-0.02564343612299182,0.3240241369839662,-0.0745653059575094,16,0.75,0.04556785987833811,0.036318966215780846,0.07433590569465388,-0.04073627757060925,0.08827559624792625,-0.03290977134572695,0.3240241369839662,-0.1120072057687324,16,0.8125,0.09793561956315061,0.06436996444534329,0.13719499276681757,-0.0721883309860728,0.15692716700918918,-0.039877991263906884,0.3598701690770896,-0.1383513344761107
1925,16,16,0.625,0.005862594398392669,0.00652218004309085,0.02053190917864097,-0.018586263568687835,0.02164138064613044,-0.0169875384353524,0.0700056286554993,-0.027941164325417,16,0.4375,0.005472954287715975,-0.0027414241267053998,0.03624402408206145,-0.018460099996774944,0.03331993236333429,-0.022990413663475665,0.1013090362192137,-0.042069354401186,16,0.625,0.013983454819511156,0.01303663026937035,0.036781875341588825,-0.02401391271728497,0.048809196689719433,-0.0323219818366179,0.1368674022093507,-0.0626174556490988,16,0.5625,0.008797399030698675,0.01017775300184915,0.032747403270844674,-0.02199546356377476,0.05703366063627107,-0.041437309167401175,0.1368674022093507,-0.084220496268148
7751,16,16,0.75,0.017902513967402924,0.012815454415180099,0.027370234669438703,-0.010500648138704402,0.0325272613684324,-0.00872716660035427,0.0889719864535028,-0.0356614814285641,16,0.75,0.022475691765009912,0.0181617628791124,0.03637371222590245,-0.0192183696176677,0.043924883764139604,-0.01647353502735962,0.1107926944910275,-0.0618992096500317,16,0.9375,0.035148704862672235,0.0358520420857335,0.0388694470966184,-0.0206624286465202,0.06831392689366826,-0.017840899435786737,0.1193888197624106,-0.0618992096500317,16,0.6875,0.03765928040862869,0.03952638155890115,0.0710470386071217,-0.035793787628055976,0.09876612621545504,-0.038411074257563155,0.1827046758784047,-0.1528391593228413
6178,16,16,0.5,-0.01170863658814255,0.00166017372439505,0.016982676002064212,-0.04039994917834931,0.018743055184843187,-0.03400605402577503,0.0426539281209059,-0.2411143642750521,16,0.8125,0.007755103821212949,0.01180884683376925,0.022223118072369954,-0.05493962460046741,0.03143384658367793,-0.03514117370644087,0.065333493058898,-0.2411143642750521,16,0.75,0.012690492624523554,0.021267130130487602,0.03694323837714055,-0.060067744633327425,0.05118991611225714,-0.05073181105107708,0.1426880598124791,-0.2411143642750521,16,0.6875,0.05137722787395588,0.0841694798025215,0.10735280268633086,-0.07176903671326909,0.10694248517813192,-0.061060451409086794,0.2102615400977567,-0.2411143642750521
5108,15,15,0.6,0.016619495677273773,0.0085441002000679,0.04085404230891845,-0.0236787891242319,0.033359012685119045,-0.016282631236258865,0.1058345076317837,-0.0503508237389809,15,0.7333333333333333,0.01733301732251612,0.024103297258577,0.035686995299313296,-0.0331404221136761,0.04335948544918558,-0.021143405370589476,0.1073170703616837,-0.0604886983809453,15,0.7333333333333333,0.03202220313703075,0.0599552940667902,0.06620110596861449,-0.06196977964982456,0.06730412295127577,-0.031699251507531015,0.1178318270131328,-0.1132110820360743,15,0.7333333333333333,0.044362083540452645,0.0680089441990696,0.08098243238414994,-0.056343875779714926,0.09132347751460886,-0.05313653422998061,0.1529929529292681,-0.2472564723932176
9101,15,15,0.5333333333333333,0.00805713219229484,0.0135565238454911,0.06417997682087252,-0.0560832616689368,0.05194491451240831,-0.04136906611904246,0.1855423653067156,-0.1518581369454303,15,0.6,0.03142181196619788,0.020303525325265,0.0816412310463356,-0.043907316654008675,0.06566489914311055,-0.050435261341261604,0.1963636380145401,-0.1518581369454303,15,0.7333333333333333,0.07143261377877157,0.0469447232237119,0.10549472589538657,-0.0222381945419197,0.11089838752973745,-0.05342271822575067,0.3397589746635205,-0.1518581369454303,15,0.7333333333333333,0.10984717351556458,0.0947929715024062,0.16518325070544096,-0.04232703875659547,0.20443388181109629,-0.06136921228304091,0.5139394052432775,-0.1518581369454303
9434,15,15,0.6666666666666666,0.007940273176610231,0.004411242032555,0.0236502235746742,-0.023479627619517697,0.02232666996951183,-0.01671547288304046,0.0620689317327558,-0.113688436075362,15,0.8,0.021668916260416116,0.0244814879956689,0.03139853632368623,-0.01724956399266433,0.033289926340365525,-0.019639581818632977,0.1072151294788787,-0.113688436075362,15,0.8666666666666667,0.04407002188173888,0.0361729535293613,0.05628567544286366,-0.03533172626557225,0.06393574014493061,-0.020260217131427345,0.1570557467779498,-0.113688436075362,15,0.9333333333333333,0.04624573245094524,0.0469421432710432,0.0498630005449703,-0.0043960208654055,0.07681172846746304,-0.020972118854933823,0.162561473381283,-0.113688436075362
5802,14,14,0.5714285714285714,0.016064098497970157,0.0046163692170172,0.05061822292479436,-0.030008067404462102,0.05328027112535589,-0.023653864524282635,0.304010938924339,-0.0565914461160371,14,0.5714285714285714,0.0022763274275491205,0.00596525503544825,0.0322869617311768,-0.037737851643954455,0.0595600871677233,-0.03338582827703677,0.3076572470373746,-0.1030865010710272,14,0.7142857142857143,0.005911972592321753,0.0224201977563754,0.044447382999523125,-0.09042655342568166,0.08270923153466885,-0.07620651034118904,0.3076572470373746,-0.2792883006613496,14,0.7142857142857143,0.02167328213887618,0.03396978663543855,0.07833535094742716,-0.11998188988250125,0.11631682029039414,-0.08803744265183262,0.3076572470373746,-0.2805834092980857
4507,14,14,0.6428571428571429,0.022688053158543053,0.01714188693427545,0.04132296525704003,-0.013568485773439377,0.034164530175966754,-0.012420184173121018,0.0836135825697388,-0.0482664598418911,14,0.8571428571428571,0.028806684175478124,0.0222944790815955,0.04376156681949773,-0.06092261168863955,0.05309869528993751,-0.01946712745032203,0.1385196014298071,-0.1076524294723455,14,0.7142857142857143,0.026787855777667697,0.01358757472369795,0.05349750357174425,-0.03998626370752367,0.07924902114429656,-0.042597579484324966,0.1543478928382793,-0.206355477277342,14,0.7857142857142857,0.0157373296417633,0.0286038457523263,0.05662485774551736,-0.13418360673866825,0.10458053879376884,-0.06132701561720444,0.1543478928382793,-0.206355477277342
