code,date,event_adj_close,sma25,sma75,sma75_5,sma75_slope5_pct,macd,signal,volume,volume_ratio20,sma75_rising,macd_above_signal,macd_above_zero,price_above_sma25,sma25_above_sma75,ret_5d,max_up_5d,max_down_5d,ret_10d,max_up_10d,max_down_10d,ret_20d,max_up_20d,max_down_20d,ret_40d,max_up_40d,max_down_40d
6954,2021-09-06,4665.453125,4353.7294140625,4596.089225260416,4594.53583984375,0.0003380940906358987,-8.959015843687666,-71.03226638421224,4924500,1.2675920384563408,True,True,False,True,False,0.015174809688233593,0.016711498141877223,-0.01152532732268774,-0.017480026893154088,0.03956961985423524,-0.01767211290940185,-0.14071296581588744,0.03956961985423524,-0.15739438453819754,-0.11316925188134863,0.03956961985423524,-0.15739438453819754
7936,2021-09-06,603.5217895507812,585.468291015625,601.9556583658854,598.4223262532552,0.0059044122480398364,-5.660843138539917,-7.370142724821155,5029600,0.7819676056206643,True,True,False,True,False,0.04516893587555382,0.06009434976442907,1.1159764934376426e-07,0.005106137164254232,0.09151620526077409,-0.02513738474338434,-0.043990549853809124,0.09151620526077409,-0.055773829390490026,0.15278869016406693,0.18224666350727126,-0.06520014386190487
8604,2021-09-06,471.022705078125,437.85245849609373,457.08581583658855,458.71508422851565,-0.003551809059576194,1.4751834058176314,-2.858344693492321,26739000,2.5753553164920886,False,True,True,True,False,-0.00826312685007946,0.008607243541791432,-0.024789133328049995,-0.05129977883273229,0.008779545876631767,-0.05732491205933987,-0.03776274303390492,0.008779545876631767,-0.0604529049017154,-0.09117189107602774,0.010061087896409138,-0.1156075248955859
8802,2021-09-06,1639.768310546875,1573.3722802734376,1630.4286669921876,1633.6069368489584,-0.0019455535998771367,2.8254989429906345,-7.175484274701555,3521700,1.2125959580134733,False,True,True,True,False,0.016740958932275785,0.027622813485776332,-0.016741101978391293,-0.03431911097625229,0.027622813485776332,-0.038504379203746275,-0.027958721302537293,0.027622813485776332,-0.044004580811878524,-0.02317318671312152,0.027622813485776332,-0.04400461968866398
8830,2021-09-06,1809.795166015625,1666.5275048828125,1757.0734049479167,1754.8649772135416,0.001258460202380851,6.826619347466249,-15.646268729703081,2949400,1.7859564985709442,True,True,True,True,False,0.03050673277106286,0.04705264683269372,-0.002068272053903142,0.005170633816278469,0.04756976690692882,-0.008273006347931045,0.05003634869439466,0.0747280645508428,-0.008273006347931045,0.06303203554981907,0.09734025137198543,-0.008273006347931045
9735,2021-09-06,3885.866943359375,3823.817177734375,3848.3492805989586,3856.6154296875,-0.0021433687748356745,2.5394117777314023,-3.6725536436321273,1234000,1.2699523510584652,False,True,True,True,False,-0.0014015006178175193,0.016585205950003568,-0.011212292892449516,-0.018920666721494395,0.016585205950003568,-0.02219093116575621,-0.06836737021072015,0.016585205950003568,-0.07899299627228928,-0.08324324344700917,0.016585205950003568,-0.09209801999568745
8308,2021-09-07,381.9143981933594,370.2678283691406,378.4150984700521,380.7402461751302,-0.006106913383694623,2.34938069204253,0.7956184879047066,8293900,1.1615284913321957,False,True,True,True,False,0.04202637070020221,0.04202637070020221,-0.006587992627982153,-0.002044656584712312,0.04202637070020221,-0.01113134569560903,0.0550724431544638,0.08087225446722868,-0.01113134569560903,0.016968060671036955,0.08087225446722868,-0.01113134569560903
8411,2021-09-07,1314.565185546875,1289.4681591796875,1313.7252962239584,1318.5952669270832,-0.0036933021263408916,-1.2983872727859307,-5.605802124195681,8460400,1.393052847884504,False,True,False,True,False,0.02084629115014147,0.02177970744805391,-0.007778496849924821,-0.015245914213479983,0.02177970744805391,-0.01680160787191043,-0.0019039052948495172,0.04231497896500791,-0.02421828899255718,-0.013061015043479784,0.04231497896500791,-0.04844558585442271
9202,2021-09-07,2561.36865234375,2434.80916015625,2499.679560546875,2490.3620638020834,0.003741422534587757,16.78087764745578,4.30242264949891,6064700,1.5997668155283975,True,True,True,True,False,-0.03129601998443288,0.002945431963276235,-0.04547131506515889,-0.011413861645852452,0.008836506178906633,-0.049153123143461985,0.0031295257452652603,0.09499264622402626,-0.049153123143461985,0.020434421980893624,0.09499264622402626,-0.049153123143461985
6301,2021-09-08,2362.015380859375,2241.35521484375,2347.564466145833,2369.827457682292,-0.009394351248774857,17.037796542795604,-6.160498630792588,4492900,1.276850913751675,False,True,True,True,False,-0.018437871938636552,-0.008001345385144742,-0.038093476107513013,-0.049399807644900706,0.004348821618853194,-0.07027294895859526,-0.06670804558019972,0.004348821618853194,-0.10183001873717279,0.09531169329852829,0.0999004951073843,-0.10183001873717279
