year,event_count,5d_n,5d_win_rate,5d_mean_return,5d_median_return,5d_avg_gain,5d_avg_loss,5d_mean_max_up,5d_mean_max_down,5d_best_max_up,5d_worst_max_down,10d_n,10d_win_rate,10d_mean_return,10d_median_return,10d_avg_gain,10d_avg_loss,10d_mean_max_up,10d_mean_max_down,10d_best_max_up,10d_worst_max_down,20d_n,20d_win_rate,20d_mean_return,20d_median_return,20d_avg_gain,20d_avg_loss,20d_mean_max_up,20d_mean_max_down,20d_best_max_up,20d_worst_max_down,40d_n,40d_win_rate,40d_mean_return,40d_median_return,40d_avg_gain,40d_avg_loss,40d_mean_max_up,40d_mean_max_down,40d_best_max_up,40d_worst_max_down,delta_5d_mean_return_delta,delta_5d_win_rate_delta,delta_10d_mean_return_delta,delta_10d_win_rate_delta,delta_20d_mean_return_delta,delta_20d_win_rate_delta,delta_40d_mean_return_delta,delta_40d_win_rate_delta,year_sample_adequate
2021,61,61,0.6721311475409836,0.007000348855725572,0.0123223633715969,0.02629766613753714,-0.03255915157198814,0.03425110215118407,-0.020666914118449196,0.1068090684925788,-0.1065008492382102,61,0.6229508196721312,0.013895493134171717,0.0171428331782206,0.040537844177059475,-0.03012230424103413,0.05316166667698056,-0.027926791568407505,0.1580727808455495,-0.1421341422802535,61,0.5081967213114754,0.01141055342303164,0.0021421035687083,0.06946532028589351,-0.04857937233525896,0.07669538832935392,-0.04632059807788386,0.217005030823205,-0.1668051139822708,61,0.5573770491803278,0.013351179665399672,0.0211626568588567,0.08856418273284769,-0.0813614908639793,0.09936446628728798,-0.07925771461465927,0.4074388331984648,-0.2856939647636112,0.004233235296312027,0.12295081967213106,0.013748894447332842,0.12295081967213117,0.015577690003371714,0.020491803278688547,0.014897131859284025,0.09016393442622944,True
2022,177,177,0.5254237288135594,0.004964290204693729,0.001691410688307,0.03255104618560929,-0.02588636059073343,0.028711577189471257,-0.025271907755132092,0.1855420665026661,-0.1708124768996567,177,0.5254237288135594,0.009228696695861228,0.0041931229571094,0.04674197215335159,-0.032303858274931686,0.042925490237568,-0.035011560347233996,0.263868285373479,-0.1708124768996567,177,0.5932203389830508,0.02045810083566244,0.0133985569248888,0.06272137487873938,-0.04117584047715808,0.0657273746072575,-0.047827476987708104,0.3397587918351392,-0.2063554461141161,177,0.5423728813559322,0.027076075202147654,0.0106293570563833,0.08931784487133852,-0.04669194810948596,0.0950167692097776,-0.06095196324991511,0.5139395435304432,-0.2063554647970908,0.004157808762124133,0.01930582002601766,0.010579308974774666,0.049339190437586056,0.017004320635651854,0.08821477724778937,0.02209482899268277,0.06295130182311798,True
2023,184,184,0.5978260869565217,0.006771059687556819,0.00674221124632795,0.026633247187039164,-0.023385864000886863,0.027956794169656553,-0.01963528136710606,0.1802089840637126,-0.0964910862625352,184,0.6521739130434783,0.017194701299155065,0.01428156227900175,0.043220191015044755,-0.0316030919181381,0.044330080491313525,-0.027909554216290784,0.343865868581751,-0.1392063674934867,184,0.7445652173913043,0.03973266231123272,0.03670789884473585,0.0671547978768755,-0.04019994561415156,0.07667978713872524,-0.03480146670147042,0.7044606477108393,-0.1691253211426258,184,0.717391304347826,0.05566308738143003,0.050983015822150105,0.10013504227272862,-0.05722725965032794,0.1178130868854258,-0.046921285344110004,0.8833640080328027,-0.187796475332839,0.0008031746793601569,0.00014157176115270342,0.004263998670169947,0.012521235764172967,0.007118994073095533,0.05281413200780216,-0.005253154235621338,-0.03658843516013344,True
2024,177,177,0.5932203389830508,0.0033014852394091443,0.0098223069916205,0.03844029021910004,-0.048617853318733584,0.038050766974079796,-0.036251312992410946,0.21148706771027,-0.3213258217979016,177,0.6045197740112994,0.021356805540445833,0.0113072312294957,0.056467444135742784,-0.03231231345522236,0.058562044302992645,-0.04442203328980298,0.314843625582188,-0.3213258217979016,177,0.5875706214689266,0.028080261799590597,0.0142134182223954,0.08153335376535963,-0.048072088398217354,0.08664408076243146,-0.06068758888533153,0.3836815542330123,-0.3213258217979016,177,0.5875706214689266,0.036250207166564095,0.0230196354673919,0.11106121449950784,-0.07032985807488999,0.11603980311262638,-0.09006725805427297,0.6794672477667358,-0.3629610645038152,0.000915259513169087,0.06035320611591799,0.01399461663547791,0.08284145233297768,0.01761104631776001,0.06589229979060485,0.008085323107396385,0.046311880210185286,True
2025,138,138,0.5942028985507246,0.007134219153580096,0.00840938719814195,0.03286319289686861,-0.03109562862453041,0.032104578609463,-0.02743022189036828,0.1502969406783396,-0.208550580960712,138,0.6304347826086957,0.014831960666881274,0.014781252050893999,0.04322234455988023,-0.034270668093599285,0.04832618318384965,-0.03551794691656307,0.185312478467474,-0.2368892407929482,138,0.6014492753623188,0.01939541822424174,0.0251500366685505,0.07253308461183111,-0.060794151051574936,0.0774593233613591,-0.05716546578431445,0.282655759873625,-0.3258663360665725,138,0.717391304347826,0.060130197671035564,0.045523131064389155,0.10216100439097164,-0.04656338861803292,0.12194722996351724,-0.07014730821464137,0.5069203799801738,-0.4251798951500414,0.0017680860425344893,0.05381292640587787,0.001555901525459107,0.04965483831900208,-0.0015508813951405388,0.013705542771789592,0.013136167331230464,0.06418796172944163,True
2026,153,151,0.5894039735099338,0.011723602417567083,0.010795483956312,0.04934134819352022,-0.042276064905978565,0.04943577295807588,-0.039527534893865665,0.3218370808724557,-0.2643474407267893,148,0.6621621621621622,0.03145472074188251,0.0361475966708606,0.07238033678873082,-0.04875948670994018,0.07843416301694957,-0.05210779045730962,0.3240241369839662,-0.328348062542488,144,0.6736111111111112,0.037671104692263584,0.02996752064455915,0.09359903168277135,-0.07775461696899716,0.11894560639711282,-0.06979919236862354,0.5063058295135336,-0.328348062542488,125,0.648,0.07326126079505887,0.0712131204454071,0.17463944168672724,-0.11336675402823972,0.197515838136285,-0.08186712963533087,2.0305093979842006,-0.2805834092980857,0.002001215255244897,0.0007825293086208829,0.010323645995288018,0.04023822480198325,0.006488783621576528,0.03175064599483213,0.005699062394375995,-0.035195592286501376,True
