code,signal_date,entry_date,exit_date,entry_price,exit_price,entry_shares,exit_shares,initial_risk_jpy,pnl_jpy,R_multiple,holding_sessions,exit_reason,regime,entry_year
3407,2020-01-14,2020-01-15,2020-01-23,1190.0,1169.5,100,100.0,2050.0,-2167.975000000006,-1.0575487804878076,7,TRAIL_STOP,UP,2020
8002,2020-01-29,2020-01-30,2020-01-30,794.5,783.9785548618862,200,200.0,2104.2890276227677,-2262.136883108952,-1.075012440503245,1,INITIAL_STOP_INTRADAY,UP,2020
8306,2020-07-06,2020-07-07,2020-07-08,429.5,420.7857121058873,300,300.0,2614.286368233817,-2741.8292250497007,-1.0487868729170822,2,TRAIL_STOP,UP,2020
6723,2020-07-31,2020-08-03,2020-10-29,582.0,845.0,100,100.0,2242.8571428571427,26228.65,11.694302547770702,60,TRAIL_GAP_OPEN,RANGE,2020
7182,2020-12-11,2020-12-14,2020-12-22,849.0,845.1428571428571,100,100.0,1778.5714285714284,-470.421428571429,-0.26449397590361473,7,TRAIL_STOP,UP,2020
5020,2021-04-30,2021-05-06,2021-05-12,483.0,481.27859279087613,300,300.0,2457.8567504882812,-661.0639516558033,-0.2689595117878515,5,TRAIL_STOP,RANGE,2021
8411,2021-06-28,2021-06-29,2021-07-07,1600.0,1562.0,100,100.0,2642.8571428571427,-3958.100000000006,-1.4976594594594617,7,TRAIL_GAP_OPEN,UP,2021
8002,2021-07-12,2021-07-13,2021-07-15,974.5999755859375,955.9285452706473,100,100.0,1867.1430315290177,-1963.669457571846,-1.05169739244014,3,TRAIL_STOP,RANGE,2021
8002,2021-07-29,2021-07-30,2021-08-05,944.2999877929688,923.7285810198102,100,100.0,2081.429181780134,-2150.5421057564845,-1.0332045522285038,5,TRAIL_STOP,DOWN,2021
9434,2021-11-11,2021-11-12,2021-12-01,1520.0,1546.5357535226005,100,100.0,2385.7149396623886,2500.248564583919,1.048008093095036,13,TRAIL_STOP,UP,2021
8306,2022-03-09,2022-03-10,2022-03-31,696.5,763.7999877929688,100,100.0,2032.8582763671875,6656.983779907224,3.2746915302937714,15,TRAIL_GAP_OPEN,DOWN,2022
5020,2022-04-04,2022-04-05,2022-04-07,461.0,449.0,300,300.0,3068.57169015067,-3736.500000000006,-1.217667493965748,3,TRAIL_GAP_OPEN,RANGE,2022
8411,2022-04-12,2022-04-13,2022-04-27,1559.0,1551.25,100,100.0,2771.4285714285725,-930.5125,-0.33575193298969064,11,TRAIL_STOP,DOWN,2022
9434,2022-05-17,2022-05-18,2022-05-19,1481.9999694824219,1455.0,100,100.0,2471.4290073939733,-2846.8469467163086,-1.1519031856465094,2,TRAIL_GAP_OPEN,DOWN,2022
9434,2022-06-08,2022-06-09,2022-06-09,1489.4999694824219,1472.5357164655413,100,100.0,1696.425301688058,-1844.5270859854645,-1.087302272696614,1,INITIAL_STOP_INTRADAY,UP,2022
9434,2022-06-20,2022-06-21,2022-08-02,1478.0000305175781,1515.7858276367188,100,100.0,1689.2852783203125,3628.8904190063477,2.1481809292830754,30,TRAIL_STOP,RANGE,2022
7182,2022-08-22,2022-08-23,2022-08-29,1017.0,1000.0,200,200.0,2671.4285714285716,-3601.7,-1.3482299465240641,5,TRAIL_GAP_OPEN,UP,2022
8604,2022-09-02,2022-09-05,2022-09-07,501.0,495.4000026157924,500,500.0,2799.998692103795,-3049.098692757747,-1.0889643275035923,3,TRAIL_STOP,RANGE,2022
5802,2022-09-27,2022-09-28,2022-09-29,1530.0,1500.75,100,100.0,2925.0,-3076.537500000006,-1.0518076923076942,2,TRAIL_STOP,DOWN,2022
8411,2022-10-31,2022-11-01,2022-12-02,1606.0,1647.7142857142858,100,100.0,2132.142857142863,4008.7428571428636,1.8801474036850903,22,TRAIL_STOP,UP,2022
2914,2023-01-24,2023-01-25,2023-01-30,2670.0,2639.714285714286,100,100.0,3028.5714285714284,-3294.057142857113,-1.0876603773584808,4,TRAIL_STOP,UP,2023
4689,2023-03-03,2023-03-06,2023-03-13,372.0,362.20001220703125,400,400.0,2842.8571428571427,-4066.8351196289063,-1.4305450169548917,6,TRAIL_GAP_OPEN,UP,2023
5020,2023-03-31,2023-04-03,2023-04-06,474.70001220703125,465.80001177106584,300,300.0,2670.0001307896205,-2811.0751343863376,-1.0528370774105527,4,TRAIL_STOP,UP,2023
9434,2023-04-14,2023-04-17,2023-05-11,1521.9999694824219,1516.4999389648438,100,100.0,1660.7131958007812,-701.9280471801758,-0.4226666283829414,16,TRAIL_GAP_OPEN,UP,2023
5020,2023-05-22,2023-05-23,2023-06-01,471.20001220703125,462.1285836356027,300,300.0,2721.4285714285716,-2861.427860804973,-1.0514433084322736,8,TRAIL_STOP,UP,2023
5802,2023-06-05,2023-06-06,2023-06-23,1678.0,1680.107142857143,100,100.0,2903.5714285714284,42.80892857143189,0.014743542435425498,14,TRAIL_STOP,UP,2023
9432,2023-07-21,2023-07-24,2023-07-25,166.10000610351562,163.5214364188058,1100,1100.0,2836.426653180804,-3017.718446568091,-1.0639155583959785,2,TRAIL_STOP,UP,2023
5020,2023-10-10,2023-10-11,2023-11-08,551.2999877929688,542.7357264927456,100,100.0,1941.4289202008927,-911.1279157365977,-0.46930789289072566,20,TRAIL_STOP,UP,2023
9434,2023-12-27,2023-12-28,2024-02-09,1750.0,1929.2142704554967,100,100.0,2203.570774623326,17737.466332026903,8.04941984904429,28,TRAIL_STOP,UP,2023
8604,2024-06-14,2024-06-17,2024-06-20,912.0,884.5714242117746,100,100.0,2742.857578822545,-2832.6861500331374,-1.0327499947150571,4,TRAIL_STOP,UP,2024
4689,2024-08-08,2024-08-09,2024-10-24,385.0,411.5714569091797,100,100.0,1554.2855398995537,2617.317118072511,1.6839358347512237,51,TRAIL_STOP,DOWN,2024
3407,2024-10-25,2024-10-28,2024-11-21,1030.0,1077.0357142857142,100,100.0,1657.1428571428573,4598.219642857133,2.774787715517235,18,TRAIL_STOP,DOWN,2024
3407,2024-12-10,2024-12-11,2024-12-20,1081.0,1060.3214285714287,100,100.0,2067.8571428571427,-2174.9232142857045,-1.051776338514676,8,TRAIL_STOP,UP,2024
4689,2025-01-07,2025-01-08,2025-02-26,420.0,472.00713675362726,300,300.0,2792.141287667411,15468.339955575124,5.539956027260199,33,TRAIL_STOP,UP,2025
7182,2025-02-27,2025-02-28,2025-03-10,1490.0,1457.857142857143,100,100.0,3214.2857142857147,-3361.6785714285797,-1.045855555555558,7,TRAIL_STOP,UP,2025
8604,2025-03-18,2025-03-19,2025-03-31,964.0,916.4000244140625,100,100.0,2716.429356166295,-4854.017559814459,-1.7869110230294922,8,TRAIL_GAP_OPEN,UP,2025
9432,2025-06-27,2025-06-30,2025-07-14,152.8000030517578,151.10000501360213,1800,1800.0,3059.996468680246,-3333.506475939043,-1.089382458463019,11,TRAIL_STOP,UP,2025
9434,2025-07-15,2025-07-16,2025-07-29,217.0,214.24285670689173,1100,1100.0,3032.857622419085,-3270.0411936078976,-1.0782046507674925,9,TRAIL_STOP,UP,2025
6178,2025-10-09,2025-10-10,2025-10-10,1461.0,1433.9285714285713,100,100.0,2707.1428571428573,-2851.88928571429,-1.0534683377308722,1,INITIAL_STOP_INTRADAY,UP,2025
6178,2025-10-22,2025-10-23,2025-11-05,1444.5,1417.4285714285713,100,100.0,2707.1428571428573,-2850.2392857143072,-1.0528588390501399,9,TRAIL_STOP,UP,2025
