code,signal_date,entry_date,exit_date,entry_price,exit_price,entry_shares,exit_shares,initial_risk_jpy,pnl_jpy,R_multiple,holding_sessions,exit_reason,regime,entry_year
3407,2020-01-14,2020-01-15,2020-01-23,1190.0,1169.5,100,100.0,2050.0,-2285.949999999997,-1.1150975609756084,7,TRAIL_STOP,UP,2020
8002,2020-01-29,2020-01-30,2020-01-30,794.5,783.9785548618862,200,200.0,2104.2890276227677,-2419.9847385951202,-1.1500248810064826,1,INITIAL_STOP_INTRADAY,UP,2020
8306,2020-07-06,2020-07-07,2020-07-08,429.5,420.7857121058873,300,300.0,2614.286368233817,-2869.3720818655943,-1.0975737458341683,2,TRAIL_STOP,UP,2020
6723,2020-07-31,2020-08-03,2020-10-29,582.0,845.0,100,100.0,2242.8571428571427,26157.3,11.662490445859873,60,TRAIL_GAP_OPEN,RANGE,2020
7182,2020-12-11,2020-12-14,2020-12-22,849.0,845.1428571428571,100,100.0,1778.5714285714284,-555.1285714285826,-0.3121204819277172,7,TRAIL_STOP,UP,2020
5020,2021-04-30,2021-05-06,2021-05-12,483.0,481.27859279087613,300,300.0,2457.8567504882812,-805.705740574433,-0.327808258318704,5,TRAIL_STOP,RANGE,2021
8411,2021-06-28,2021-06-29,2021-07-07,1600.0,1562.0,100,100.0,2642.8571428571427,-4116.200000000012,-1.5574810810810855,7,TRAIL_GAP_OPEN,UP,2021
8002,2021-07-12,2021-07-13,2021-07-15,974.5999755859375,955.9285452706473,100,100.0,1867.1430315290177,-2060.195883614672,-1.1033947848802788,3,TRAIL_STOP,RANGE,2021
8002,2021-07-29,2021-07-30,2021-08-05,944.2999877929688,923.7285810198102,100,100.0,2081.429181780134,-2243.9435341971316,-1.0780782521161771,5,TRAIL_STOP,DOWN,2021
9434,2021-11-11,2021-11-12,2021-12-01,1520.0,1546.5357535226005,100,100.0,2385.7149396623886,2346.9217769078095,0.9837393973145556,13,TRAIL_STOP,UP,2021
8306,2022-03-09,2022-03-10,2022-03-31,696.5,763.7999877929688,100,100.0,2032.8582763671875,6583.968780517573,3.238774122652284,15,TRAIL_GAP_OPEN,DOWN,2022
5020,2022-04-04,2022-04-05,2022-04-07,461.0,449.0,300,300.0,3068.57169015067,-3873.000000000012,-1.2621507303972566,3,TRAIL_GAP_OPEN,RANGE,2022
8411,2022-04-12,2022-04-13,2022-04-27,1559.0,1551.25,100,100.0,2771.4285714285725,-1086.025,-0.39186469072164937,11,TRAIL_STOP,DOWN,2022
9434,2022-05-17,2022-05-18,2022-05-19,1481.9999694824219,1455.0,100,100.0,2471.4290073939733,-2993.6969451904297,-1.2113222496919578,2,TRAIL_GAP_OPEN,DOWN,2022
9434,2022-06-08,2022-06-09,2022-06-09,1489.4999694824219,1472.5357164655413,100,100.0,1696.425301688058,-1992.628870282846,-1.1746045453932132,1,INITIAL_STOP_INTRADAY,UP,2022
9434,2022-06-20,2022-06-21,2022-08-02,1478.0000305175781,1515.7858276367188,100,100.0,1689.2852783203125,3479.201126098633,2.0595699084988572,30,TRAIL_STOP,RANGE,2022
