date,equity,cash,holding_code,scheduled_code
2020-01-06,300000.0,300000.0,,
2020-01-07,300000.0,300000.0,,7267
2020-01-08,300000.0,300000.0,,
2020-01-09,300000.0,300000.0,,6301
2020-01-10,300000.0,300000.0,,
2020-01-14,300000.0,300000.0,,3407
2020-01-15,299940.5,180940.5,3407,
2020-01-16,299490.5,180940.5,3407,
2020-01-17,299590.5,180940.5,3407,
2020-01-20,301490.5,180940.5,3407,
2020-01-21,298290.5,180940.5,3407,
2020-01-22,299390.5,180940.5,3407,
2020-01-23,297832.025,297832.025,,
2020-01-24,297832.025,297832.025,,
2020-01-27,297832.025,297832.025,,
2020-01-28,297832.025,297832.025,,
2020-01-29,297832.025,297832.025,,8002
2020-01-30,295569.88811689103,295569.88811689103,,
2020-01-31,295569.88811689103,295569.88811689103,,8267
2020-02-03,295569.88811689103,295569.88811689103,,
2020-02-04,295569.88811689103,295569.88811689103,,6981
2020-02-05,295569.88811689103,295569.88811689103,,8058
2020-02-06,295569.88811689103,295569.88811689103,,6971
2020-02-07,295569.88811689103,295569.88811689103,,
2020-02-10,295569.88811689103,295569.88811689103,,
2020-02-12,295569.88811689103,295569.88811689103,,6762
2020-02-13,295569.88811689103,295569.88811689103,,
2020-02-14,295569.88811689103,295569.88811689103,,6273
2020-02-17,295569.88811689103,295569.88811689103,,4901
2020-02-18,295569.88811689103,295569.88811689103,,8802
2020-02-19,295569.88811689103,295569.88811689103,,6758
2020-02-20,295569.88811689103,295569.88811689103,,6861
2020-02-21,295569.88811689103,295569.88811689103,,
2020-02-25,295569.88811689103,295569.88811689103,,
2020-02-26,295569.88811689103,295569.88811689103,,
2020-02-27,295569.88811689103,295569.88811689103,,
2020-02-28,295569.88811689103,295569.88811689103,,
2020-03-02,295569.88811689103,295569.88811689103,,4901
2020-03-03,295569.88811689103,295569.88811689103,,
2020-03-04,295569.88811689103,295569.88811689103,,6920
2020-03-05,295569.88811689103,295569.88811689103,,
2020-03-06,295569.88811689103,295569.88811689103,,
2020-03-09,295569.88811689103,295569.88811689103,,
2020-03-10,295569.88811689103,295569.88811689103,,
2020-03-11,295569.88811689103,295569.88811689103,,
2020-03-12,295569.88811689103,295569.88811689103,,
2020-03-13,295569.88811689103,295569.88811689103,,
2020-03-16,295569.88811689103,295569.88811689103,,
2020-03-17,295569.88811689103,295569.88811689103,,4519
2020-03-18,295569.88811689103,295569.88811689103,,
2020-03-19,295569.88811689103,295569.88811689103,,
2020-03-23,295569.88811689103,295569.88811689103,,
2020-03-24,295569.88811689103,295569.88811689103,,
2020-03-25,295569.88811689103,295569.88811689103,,
2020-03-26,295569.88811689103,295569.88811689103,,
2020-03-27,295569.88811689103,295569.88811689103,,
2020-03-30,295569.88811689103,295569.88811689103,,
2020-03-31,295569.88811689103,295569.88811689103,,
2020-04-01,295569.88811689103,295569.88811689103,,
2020-04-02,295569.88811689103,295569.88811689103,,
2020-04-03,295569.88811689103,295569.88811689103,,
2020-04-06,295569.88811689103,295569.88811689103,,
2020-04-07,295569.88811689103,295569.88811689103,,
2020-04-08,295569.88811689103,295569.88811689103,,
2020-04-09,295569.88811689103,295569.88811689103,,
2020-04-10,295569.88811689103,295569.88811689103,,
2020-04-13,295569.88811689103,295569.88811689103,,
2020-04-14,295569.88811689103,295569.88811689103,,
2020-04-15,295569.88811689103,295569.88811689103,,
2020-04-16,295569.88811689103,295569.88811689103,,
2020-04-17,295569.88811689103,295569.88811689103,,
2020-04-20,295569.88811689103,295569.88811689103,,
2020-04-21,295569.88811689103,295569.88811689103,,
2020-04-22,295569.88811689103,295569.88811689103,,
2020-04-23,295569.88811689103,295569.88811689103,,
2020-04-24,295569.88811689103,295569.88811689103,,
2020-04-27,295569.88811689103,295569.88811689103,,
2020-04-28,295569.88811689103,295569.88811689103,,
2020-04-30,295569.88811689103,295569.88811689103,,
2020-05-01,295569.88811689103,295569.88811689103,,
2020-05-07,295569.88811689103,295569.88811689103,,
2020-05-08,295569.88811689103,295569.88811689103,,
2020-05-11,295569.88811689103,295569.88811689103,,
2020-05-12,295569.88811689103,295569.88811689103,,
2020-05-13,295569.88811689103,295569.88811689103,,
2020-05-14,295569.88811689103,295569.88811689103,,
2020-05-15,295569.88811689103,295569.88811689103,,
2020-05-18,295569.88811689103,295569.88811689103,,
2020-05-19,295569.88811689103,295569.88811689103,,
2020-05-20,295569.88811689103,295569.88811689103,,
2020-05-21,295569.88811689103,295569.88811689103,,
2020-05-22,295569.88811689103,295569.88811689103,,
2020-05-25,295569.88811689103,295569.88811689103,,
2020-05-26,295569.88811689103,295569.88811689103,,
2020-05-27,295569.88811689103,295569.88811689103,,
2020-05-28,295569.88811689103,295569.88811689103,,
2020-05-29,295569.88811689103,295569.88811689103,,
2020-06-01,295569.88811689103,295569.88811689103,,
2020-06-02,295569.88811689103,295569.88811689103,,
2020-06-03,295569.88811689103,295569.88811689103,,
2020-06-04,295569.88811689103,295569.88811689103,,
2020-06-05,295569.88811689103,295569.88811689103,,
2020-06-08,295569.88811689103,295569.88811689103,,
2020-06-09,295569.88811689103,295569.88811689103,,
2020-06-10,295569.88811689103,295569.88811689103,,
2020-06-11,295569.88811689103,295569.88811689103,,
2020-06-12,295569.88811689103,295569.88811689103,,
2020-06-15,295569.88811689103,295569.88811689103,,
2020-06-16,295569.88811689103,295569.88811689103,,
2020-06-17,295569.88811689103,295569.88811689103,,
2020-06-18,295569.88811689103,295569.88811689103,,
2020-06-19,295569.88811689103,295569.88811689103,,
2020-06-22,295569.88811689103,295569.88811689103,,
2020-06-23,295569.88811689103,295569.88811689103,,
2020-06-24,295569.88811689103,295569.88811689103,,
2020-06-25,295569.88811689103,295569.88811689103,,
2020-06-26,295569.88811689103,295569.88811689103,,
2020-06-29,295569.88811689103,295569.88811689103,,
2020-06-30,295569.88811689103,295569.88811689103,,
2020-07-01,295569.88811689103,295569.88811689103,,
2020-07-02,295569.88811689103,295569.88811689103,,8750
2020-07-03,295569.88811689103,295569.88811689103,,4452
2020-07-06,295569.88811689103,295569.88811689103,,8306
2020-07-07,294335.46494794573,166655.46311689104,8306,
2020-07-08,292828.0588918413,292828.0588918413,,
2020-07-09,292828.0588918413,292828.0588918413,,
2020-07-10,292828.0588918413,292828.0588918413,,
2020-07-13,292828.0588918413,292828.0588918413,,7203
2020-07-14,292828.0588918413,292828.0588918413,,8750
2020-07-15,292828.0588918413,292828.0588918413,,
2020-07-16,292828.0588918413,292828.0588918413,,
2020-07-17,292828.0588918413,292828.0588918413,,4568
2020-07-20,292828.0588918413,292828.0588918413,,
2020-07-21,292828.0588918413,292828.0588918413,,
2020-07-22,292828.0588918413,292828.0588918413,,
2020-07-27,292828.0588918413,292828.0588918413,,9735
2020-07-28,292828.0588918413,292828.0588918413,,
2020-07-29,292828.0588918413,292828.0588918413,,
2020-07-30,292828.0588918413,292828.0588918413,,7269
2020-07-31,292828.0588918413,292828.0588918413,,6723
2020-08-03,296098.95889184135,234598.95889184132,6723,
2020-08-04,295898.95889184135,234598.95889184132,6723,
2020-08-05,294998.95889184135,234598.95889184132,6723,
2020-08-06,294598.95889184135,234598.95889184132,6723,
2020-08-07,297298.95889184135,234598.95889184132,6723,
2020-08-11,299198.95889184135,234598.95889184132,6723,
2020-08-12,301098.95889184135,234598.95889184132,6723,
2020-08-13,304198.95889184135,234598.95889184132,6723,
2020-08-14,303398.95889184135,234598.95889184132,6723,
2020-08-17,302998.95889184135,234598.95889184132,6723,
2020-08-18,302698.95889184135,234598.95889184132,6723,
2020-08-19,301898.95889184135,234598.95889184132,6723,
2020-08-20,299098.95889184135,234598.95889184132,6723,
2020-08-21,302198.95889184135,234598.95889184132,6723,
2020-08-24,303298.95889184135,234598.95889184132,6723,
2020-08-25,302798.95889184135,234598.95889184132,6723,
2020-08-26,304798.95889184135,234598.95889184132,6723,
2020-08-27,303898.95889184135,234598.95889184132,6723,
2020-08-28,300598.95889184135,234598.95889184132,6723,
