entry,exit,n,win_rate,total_pnl_jpy,ending_equity,expectancy_jpy,expectancy_R,profit_factor,max_drawdown,max_losing_streak,avg_gain_R,avg_loss_R,avg_win_loss_R_ratio,avg_holding_sessions,largest_winner_R
ma75_reclaim,sma75_break,45,0.3333333333333333,104497.3173722953,404497.3173722953,2322.162608273232,1.027945264831552,2.4874735745047833,-0.11820167428928596,5,4.5907656577497225,-0.753464931627533,6.092872362132862,15.466666666666667,25.55361146496814
ma75_reclaim,trail_4ATR,36,0.25,97507.45959418215,397507.45959418215,2708.540544282842,1.2737165556094618,2.1333745615693216,-0.10363845419119455,8,8.292291368598084,-1.0658083820534123,7.780283499574242,20.11111111111111,26.037445859872598
golden25_75,sma20_break,55,0.34545454545454546,96727.97254088323,396727.97254088323,1758.6904098342425,0.6492475132759155,2.0174388807758983,-0.11092262273254117,5,3.6610322695341617,-0.940305552527048,3.893449591672864,10.272727272727273,14.262827102803703
breakout55,sma20_break,46,0.1956521739130435,72848.67330284172,372848.6733028417,1583.6668109313455,0.5834381587507848,1.6491084694873774,-0.17907863218555287,17,7.441907578759594,-1.0848381866567636,6.8599240608352305,8.934782608695652,26.960271307468734
golden25_75,trail_3ATR,45,0.37777777777777777,69200.28132602229,369200.2813260223,1537.7840294671576,0.7348104271690442,1.863410982988963,-0.10490365956255499,4,3.7666266801675117,-1.105935155008597,3.4058295941756476,14.533333333333333,13.105046301581588
breakout55,trail_4ATR,43,0.13953488372093023,43431.61835616041,343431.6183561604,1010.0376361897767,0.5122973871073092,1.4400005274053098,-0.16560969303534734,17,10.205677952353644,-1.0596021640137183,9.631612976039104,10.186046511627907,24.88312766124487
near52w_high,trail_4ATR,19,0.3157894736842105,39114.670628248015,339114.670628248,2058.6668751709535,0.9216747831489274,2.061685280347442,-0.09363323925212308,5,5.425787080221305,-1.1571462770383236,4.688937939729126,17.894736842105264,12.670823529411779
breakout55,trail_3ATR,43,0.18604651162790697,37299.36757823452,337299.3675782345,867.4271529822009,0.4628789788059121,1.414704211765072,-0.1294198005058892,15,6.973687244640896,-1.0253057676706554,6.801568336520814,8.813953488372093,22.776992190692987
breakout55,trail_2ATR,45,0.24444444444444444,30773.088666480442,330773.08866648044,683.8464148106781,0.3598920294914691,1.394016731987898,-0.1042833574198262,13,4.342883770581618,-0.9287229455671085,4.676188729169075,6.7555555555555555,14.2075081112118
reversal20_bottom10,trail_4ATR,10,0.4,30365.383514077344,330365.38351407734,3036.538351407743,1.4138029561255043,2.7737150599602014,-0.07116631923866179,5,5.029966072933295,-0.996972455079689,5.045240765986102,31.8,7.0577824303919465
