entry,exit,n,win_rate,total_pnl_jpy,ending_equity,expectancy_jpy,expectancy_R,profit_factor,max_drawdown,max_losing_streak,avg_gain_R,avg_loss_R,avg_win_loss_R_ratio,avg_holding_sessions,largest_winner_R
ma75_reclaim,fixed_3d_1p5R,23,0.5217391304347826,598.9220487322891,300598.9220487323,26.04008907532514,0.050209830847646464,1.019870220095033,-0.038030017330276444,2,1.1631209019753885,-1.163874974018981,0.9993521021927393,2.652173913043478,1.4733009554140115
ma75_reclaim,trail_2ATR,20,0.45,5027.498014177836,305027.49801417784,251.37490070889143,0.24431944324184718,1.1661757095359357,-0.05231129399691781,4,1.8662304318822573,-1.0826986383730337,1.7236841035346948,7.0,4.357072694846481
ma75_reclaim,trail_3ATR,18,0.2777777777777778,11992.166726575757,311992.16672657576,666.2314848097615,0.4221612159865087,1.386453285273378,-0.07214823058489883,5,4.009066100825536,-0.9574175858746556,4.187374621036468,10.88888888888889,11.694302547770693
ma75_reclaim,trail_4ATR,17,0.29411764705882354,60843.20374810381,360843.2037481038,3579.0119851825802,1.7474840562676444,2.618270558347739,-0.10363845419119455,4,8.65797733476485,-1.131888143106191,7.649145710639872,18.176470588235293,26.037445859872598
ma75_reclaim,sma20_break,22,0.18181818181818182,12322.666919599404,312322.6669195994,560.1212236181577,0.3198538926702655,1.5218887469765356,-0.06547516789160834,10,4.204342467861178,-0.5433657907054926,7.737591397504735,5.7272727272727275,12.095375796178336
ma75_reclaim,sma75_break,16,0.4375,79831.15576956619,379831.1557695662,4989.447235597896,2.2406787887687063,5.0052593768161255,-0.0774701875020879,4,6.159087466674334,-0.8069724051578926,7.632339628105678,23.875,25.55361146496814
breakout20_vol15,fixed_3d_1p5R,34,0.3235294117647059,-25264.63318661251,274735.3668133875,-743.0774466650755,-0.29999677238619954,0.41133395811827683,-0.10405567601996824,6,0.9498145422729749,-0.8977326185275437,1.0580149619948707,2.5294117647058822,1.4702415254237295
breakout20_vol15,trail_2ATR,30,0.16666666666666666,-43602.40729206597,256397.59270793403,-1453.4135764021992,-0.6881341453008082,0.2249386700808112,-0.16924136495883835,18,1.2407199416070642,-1.073904962682383,1.1553349548809362,4.933333333333334,2.4385611312648354
breakout20_vol15,trail_3ATR,27,0.18518518518518517,-32802.84195600217,267197.1580439978,-1214.92007244452,-0.5943521416133213,0.40580884305085935,-0.14486186473049423,9,2.185347160828441,-1.226101983077358,1.782353499945821,9.037037037037036,4.251309676073226
breakout20_vol15,trail_4ATR,26,0.11538461538461539,-20890.126773071068,279109.87322692893,-803.4664143488881,-0.5436338818699178,0.6336165039824422,-0.16551259626783954,15,4.545695349116485,-1.2074594337377094,3.7646774890359795,10.423076923076923,12.727373674468096
breakout20_vol15,sma20_break,27,0.18518518518518517,-31962.30486177694,268037.69513822306,-1183.789068954703,-0.6063675641917698,0.406804192408595,-0.13682171701737067,9,2.0192648048466992,-1.2031021935186947,1.678381783130979,8.296296296296296,2.726639999999999
breakout20_vol15,sma75_break,25,0.16,-10939.80710127682,289060.1928987232,-437.59228405107103,-0.13268657139833312,0.8057734292975891,-0.18940877945565493,14,5.0208567840366385,-1.1143138771954706,4.505783232883395,12.72,10.596185469546576
breakout55,fixed_3d_1p5R,20,0.3,-9378.131171962072,290621.8688280379,-468.90655859810283,-0.19804509223657046,0.6391733387348623,-0.03430147081223922,5,1.4282761092267142,-0.8950398928636926,1.5957680999635948,2.4,1.4546722326873536
