code,asof,open,high,low,close,adj_close,volume,sma25,sma75,sma75_5,macd,signal,bb_plus2,bb_minus2,fresh_75_cross_up,fresh_macd_bull_cross,sma75_rising_5d
1925,2026-09-24,4541.0,4581.0,4531.0,4532.0,4532.0,2438100,4652.6,4551.893333333333,4530.133333333333,-19.86926407530973,-2.997105104967441,4783.175342235823,4522.024657764177,False,False,True
1928,2026-09-24,3350.0,3369.0,3333.0,3349.0,3349.0,3324500,3396.44,3374.3582259114582,3365.54830078125,-19.28938621416546,-18.031526635891908,3499.7919501509314,3293.0880498490687,False,False,True
2502,2026-09-24,1606.5,1614.5,1597.5,1605.5,1605.5,6708800,1643.94,1608.2079069010417,1598.1857535807292,-12.246000713772446,-9.436708075583883,1705.87759439951,1582.0024056004902,False,False,True
2503,2026-09-24,2845.0,2857.5,2821.0,2821.0,2821.0,3619500,2938.68,2878.5462825520835,2862.2259016927082,-39.49457202943495,-32.21417117178224,3148.9424797723373,2728.4175202276624,False,False,True
2802,2026-09-24,4984.0,5081.0,4974.0,4998.0,4998.0,3414900,5197.8,5338.88,5359.2266666666665,-112.98052727158847,-94.54123190573146,5617.12211961683,4778.4778803831705,False,False,False
2914,2026-09-24,6883.0,6901.0,6812.0,6872.0,6872.0,4521300,6861.84,6507.5924609375,6448.84279296875,5.9172047836809725,5.972647774840568,7111.264091859671,6612.4159081403295,False,False,True
3382,2026-09-24,2007.0,2021.0,1996.5,2000.0,2000.0,7923600,2022.4392236328124,1996.5995572916668,1983.2679817708333,0.24561352953196547,2.7327835309249884,2067.7329256612175,1977.1455216044076,False,False,True
3407,2026-09-24,1612.5,1617.0,1603.0,1606.5,1606.5,4121500,1615.4,1729.4666666666667,1740.9533333333334,-26.918600321163467,-33.41931355048115,1689.2896474480847,1541.5103525519155,False,False,False
4063,2026-09-24,5795.0,5921.0,5795.0,5903.0,5903.0,8816000,5903.12,6530.066666666667,6656.053333333333,-114.00966842147773,-147.91580228787157,6200.8857173015,5605.354282698499,False,False,False
4188,2026-09-24,1188.0,1207.5,1168.5,1172.0,1172.0,9006600,1184.26,1160.3066666666666,1154.78,0.01977690379476371,2.6575732631739406,1270.9687631096044,1097.5512368903956,False,False,True
4307,2026-09-24,5002.0,5115.0,5000.0,5034.0,5034.0,2567900,5075.28,4901.466666666666,4892.373333333333,23.798087405408296,26.04035553171337,5357.980984080402,4792.579015919598,False,False,True
4452,2026-09-24,3460.0,3490.0,3448.0,3485.0,3485.0,2503500,3517.44,3330.0958365885417,3296.4930045572914,-2.71639632871711,5.987683030527316,3666.585920494022,3368.294079505978,False,False,True
