strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,discovery,8750,2021-11-22,2021-11-24,2386.0,100.0,238600.0,2354.5,2021-11-25,2353.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3250.0,-0.013621123218776194,1
S1_V2_FOUNDATION,discovery,8750,2021-11-25,2021-11-26,2359.0,100.0,235900.0,2361.5,2021-11-29,2294.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-6450.0,-0.027342094107672743,3
S1_V2_FOUNDATION,discovery,8053,2021-12-03,2021-12-06,1603.0,100.0,160300.0,1603.0,2021-12-07,1617.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1400.0,0.008733624454148471,1
S1_V2_FOUNDATION,discovery,1928,2021-12-06,2021-12-07,2362.0,100.0,236200.0,2331.0,2021-12-16,2373.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1100.0,0.0046570702794242165,9
S1_V2_FOUNDATION,discovery,5802,2021-12-15,2021-12-16,1548.0,100.0,154800.0,1526.5,2021-12-17,1526.5,100.0,STOP_INTRADAY,-2150.0,-0.013888888888888888,1
S1_V2_FOUNDATION,discovery,6723,2021-12-22,2021-12-23,1412.0,100.0,141200.0,1404.0,2021-12-27,1404.0,100.0,STOP_INTRADAY,-800.0,-0.0056657223796034,4
S1_V2_FOUNDATION,discovery,8591,2022-01-28,2022-01-31,2336.0,100.0,233600.0,2317.5,2022-02-22,2317.5,100.0,STOP_INTRADAY,-1850.0,-0.007919520547945206,22
S1_V2_FOUNDATION,discovery,7751,2022-02-25,2022-02-28,2721.5,100.0,272150.0,2722.0,2022-03-01,2718.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-350.0,-0.0012860554841080288,1
S1_V2_FOUNDATION,discovery,8604,2022-03-03,2022-03-04,516.7999877929688,100.0,51679.998779296875,513.6,2022-03-07,499.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1779.998779296875,-0.03444270165133879,3
S1_V2_FOUNDATION,discovery,5020,2022-03-11,2022-03-14,455.0,100.0,45500.0,446.6,2022-03-15,446.6,100.0,STOP_INTRADAY,-840.0,-0.018461538461538463,1
S1_V2_FOUNDATION,discovery,6178,2022-03-14,2022-03-15,938.2000122070312,100.0,93820.00122070312,935.2,2022-03-30,918.2999877929688,100.0,STOP_GAP_OPEN,-1990.00244140625,-0.02121085499375499,15
S1_V2_FOUNDATION,discovery,5020,2022-03-17,2022-03-18,454.0,100.0,45400.0,447.3,2022-04-04,452.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-200.0,-0.004405286343612335,17
S1_V2_FOUNDATION,discovery,5020,2022-04-13,2022-04-14,454.40000000000003,100.0,45440.0,454.70000000000005,2022-04-15,454.20001220703125,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-19.998779296875,-0.00044011398100517163,1
S1_V2_FOUNDATION,discovery,8306,2022-03-09,2022-03-10,696.5,100.0,69650.0,673.6,2022-05-12,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,3850.0,0.05527638190954774,63
